theta,eta,kappa
0.011123674968510616,0.011709647377139788,0.001
0.011124953313289478,0.011711048198639405,0.00100138264419705
0.0111262333939042,0.01171245093368575,0.0010027672000990757
0.011127515212668772,0.0117138555848607,0.0010041536703492846
0.011128798771900168,0.011715262154749545,0.0010055420575945395
0.01113008407391832,0.011716670645940962,0.0010069323644853632
0.011131371121046134,0.011718081061027032,0.0010083245936759408
0.011132659915609506,0.011719493402603256,0.0010097187478241296
0.011133950459937302,0.01172090767326853,0.0010111148295914613
0.01113524275636138,0.011722323875625183,0.001012512841643147
0.011136536807216586,0.011723742012278956,0.0010139127866480835
0.011137832614840752,0.011725162085839014,0.0010153146672788572
0.011139130181574714,0.011726584098917957,0.0010167184862117501
0.0111404295097623,0.011728008054131815,0.0010181242461267453
0.011141730601750345,0.011729433954100057,0.0010195319497075283
0.011143033459888693,0.011730861801445596,0.0010209415996414984
0.01114433808653019,0.011732291598794785,0.0010223531986197697
0.011145644484030697,0.011733723348777437,0.0010237667493371767
0.011146952654749102,0.011735157054026812,0.0010251822544922805
0.011148262601047301,0.011736592717179636,0.001026599716787373
0.011149574325290214,0.011738030340876091,0.001028019138928482
0.011150887829845796,0.011739469927759833,0.001029440523625379
0.01115220311708503,0.01174091148047799,0.0010308638735915777
0.011153520189381934,0.011742355001681163,0.0010322891915443475
0.011154839049113557,0.011743800494023434,0.0010337164802047137
0.011156159698660004,0.011745247960162374,0.0010351457422974636
0.011157482140404412,0.011746697402759042,0.0010365769805511522
0.01115880637673297,0.011748148824477986,0.0010380101976981068
0.011160132410034922,0.01174960222798726,0.0010394453964744329
0.01116146024270257,0.011751057615958413,0.0010408825796200186
0.011162789877131266,0.011752514991066507,0.0010423217498785418
0.011164121315719434,0.011753974355990113,0.0010437629099974701
0.01116545456086856,0.01175543571341131,0.0010452060627280742
0.011166789614983198,0.01175689906601571,0.0010466512108254266
0.011168126480470986,0.011758364416492442,0.0010480983570484096
0.011169465159742636,0.011759831767534165,0.0010495475041597203
0.01117080565521192,0.011761301121837063,0.001050998654925875
0.011172147969295727,0.011762772482100873,0.0010524518121172157
0.011173492104414014,0.01176424585102886,0.0010539069785079154
0.011174838062989833,0.011765721231327842,0.0010553641568759797
0.011176185847449333,0.011767198625708184,0.001056823350003259
0.011177535460221762,0.011768678036883806,0.0010582845606754477
0.01117888690373947,0.011770159467572193,0.0010597477916820934
0.011180240180437912,0.011771642920494383,0.001061213045816599
0.011181595292755656,0.011773128398374992,0.001062680325876231
0.011182952243134377,0.011774615903942201,0.0010641496346621231
