F,Tcmp,kappa
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014481584463104328
[0.3 0.3 0.3 0.3 0.3],0.63,0.001450160734182633
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014521657905065403
[0.3 0.3 0.3 0.3 0.3],0.63,0.00145417361910994
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014561842238259056
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014581976084928141
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014602137769543489
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014622327330595074
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014642544806626086
[0.3 0.3 0.3 0.3 0.3],0.63,0.001466279023623301
[0.3 0.3 0.3 0.3 0.3],0.63,0.00146830636580657
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014703365110827454
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014723694633275047
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014744052264218882
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014764438042523004
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014784852007105203
[0.3 0.3 0.3 0.3 0.3],0.63,0.001480529419693707
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014825764651044083
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014846263408505678
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014866790508455323
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014887345990080613
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014907929892623271
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014928542255379337
[0.3 0.3 0.3 0.3 0.3],0.63,0.001494918311769915
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014969852518987475
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014990550498703548
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015011277096361165
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015032032351528757
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015052816303829481
[0.3 0.3 0.3 0.3 0.3],0.63,0.001507362899294123
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015094470458596806
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015115340740583926
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015136239878745328
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015157167912978832
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015178124883237424
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015199110829529332
[0.3 0.3 0.3 0.3 0.3],0.63,0.00152201257919181
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015241169810522681
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015262242925517455
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015283345177132387
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015304476605653061
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015325637251420755
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015346827154832524
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015368046356341284
[0.3 0.3 0.3 0.3 0.3],0.63,0.001538929489645589
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015410572815741164
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015431880154818064
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015453216954363694
[0.3 0.3 0.3 0.3 0.3],0.63,0.00154745832551114
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015495979097850847
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015517404523428097
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015538859572745694
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015560344286762724
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015581858706494932
[0.3 0.3 0.3 0.3 0.3],0.63,0.001560340287301472
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015624976827451327
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015646580610990844
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015668214264876303
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015689877830407772
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015711571348942406
[0.3 0.3 0.3 0.3 0.3],0.63,0.001573329486189456
[0.3 0.3 0.3 0.3 0.3],0.63,0.001575504841073585
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015776832036995196
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015798645782258978
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015820489688171068
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015842363796432905
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015864268148803597
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015886202787099987
[0.3 0.3 0.3 0.3 0.3],0.63,0.001590816775319673
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015930163089026385
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015952188836579502
[0.3 0.3 0.3 0.3 0.3],0.63,0.0015974245037904645
[0.3 0.3 0.3 0.3 0.3],0.63,0.001599633173510856
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016018448970356192
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016040596785870797
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016062775223934
[0.3 0.3 0.3 0.3 0.3],0.63,0.001608498432688589
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016107224137125098
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016129494697108893
[0.3 0.3 0.3 0.3 0.3],0.63,0.00161517960493532
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016174128236432772
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016196491300981219
[0.3 0.3 0.3 0.3 0.3],0.63,0.001621888528569109
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016241310233313972
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016263766186660551
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016286253188600715
[0.3 0.3 0.3 0.3 0.3],0.63,0.001630877128206362
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016331320510037798
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016353900915571165
[0.3 0.3 0.3 0.3 0.3],0.63,0.001637651254177121
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016399155431805006
[0.3 0.3 0.3 0.3 0.3],0.63,0.001642182962889931
[0.3 0.3 0.3 0.3 0.3],0.63,0.001644453517634065
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016467272117475402
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016490040495709892
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016512840354510404
[0.3 0.3 0.3 0.3 0.3],0.63,0.001653567173740338
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016558534687975423
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016581429249873404
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016604355466804535
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016627313382536469
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016650303040897363
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016673324485775983
[0.3 0.3 0.3 0.3 0.3],0.63,0.001669637776112179
[0.3 0.3 0.3 0.3 0.3],0.63,0.001671946291094496
[0.3 0.3 0.3 0.3 0.3],0.63,0.001674257997931657
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016765729010368617
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016788910048294115
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016812123137347184
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016835368321843126
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016858645646158521
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016881955154731323
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016905296892060868
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016928670902708084
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016952077231295482
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016975515922507277
[0.3 0.3 0.3 0.3 0.3],0.63,0.0016998987021089459
[0.3 0.3 0.3 0.3 0.3],0.63,0.0017022490571849897
[0.3 0.3 0.3 0.3 0.3],0.63,0.0017046026619658404
[0.3 0.3 0.3 0.3 0.3],0.63,0.0017069595209446833
[0.3 0.3 0.3 0.3 0.3],0.63,0.0017093196386209185
[0.3 0.3 0.3 0.3 0.3],0.63,0.0017116830195001613
[0.3 0.3 0.3 0.3 0.3],0.63,0.001714049668094262
[0.3 0.3 0.3 0.3 0.3],0.63,0.001716419588921308
[0.3 0.3 0.3 0.3 0.3],0.63,0.001718792786505633
[0.3 0.3 0.3 0.3 0.3],0.63,0.0017211692653778263
[0.3 0.3 0.3 0.3 0.3],0.63,0.0017235490300747417
[0.3 0.3 0.3 0.3 0.3],0.63,0.0017259320851395058
[0.3 0.3 0.3 0.3 0.3],0.63,0.001728318435121528
[0.3 0.3 0.3 0.3 0.3],0.63,0.0017307080845765034
[0.3 0.3 0.3 0.3 0.3],0.63,0.0017331010380664306
[0.3 0.3 0.3 0.3 0.3],0.63,0.0017354973001596143
[0.3 0.3 0.3 0.3 0.3],0.63,0.001737896875430676
